Statement,Label
"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested",1
Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive,1
PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11,1
"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",1
"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan",1
"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark",1
"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR",1
"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report",1
DNA Special: TRP racket is big bad blot on journalism,1
National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan,1
Union Minister Ram Vilas Paswan dies days after heart surgery,1
"Reforms in education, labour, agriculture impact almost every Indian: PM Modi",1
"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges",1
"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge",1
"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar",1
"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC ",1
Hathras victim deserves justice not slander: Priyanka Gandhi,1
Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes,1
IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances,1
"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how",1
Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states,1
"India takes strong punch at Pakistan, calls for strong action against terrorism supporters",1
"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks",1
US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response,1
DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,1
"Mother, baby die during quack-assisted delivery in Noida, bodies dumped",1
Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy  ,1
All you need to know about high-security registration plate and colour-coded stickers,1
"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops",1
Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again,1
"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect",1
"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details",1
India believes indigenous defence capabilities are foundations to peace: Rajnath Singh,1
Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety,1
"Income Tax raids in Patna, Sasaram and Varanasi; Rs 1.25 crore seized ",1
BRO builds India's longest steel bridge on Manali-Leh highway,1
"Cabinet approves to complete Kolkata East-West Metro Corridor Project by 2021 for Rs 8,575 crores",1
"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine",1
"RBSE class 10 supplementary exams: Results declared, check @rajeduboard.rajasthan.gov.in.",1
Centre decides to launch COVID-19 awareness campaign from today,1
Bihar Assembly Election 2020: Know caste calculus of ticket distribution by BJP-RJD-Congress ,1
"Work on Jewar International Airport to start soon, key pact signed",1
PM Modi wishes Russian President Vladimir Putin on 68th birthday,1
"India, Japan finalise cybersecurity agreement on 5G, AI cooperation",1
"Unlock 5.0 school reopening guidelines explained: Know when, how schools will open",1
Kashmir: Security forces eliminate four terrorists in 16 hours,1
Rajasthan: Minor girl gang-raped in Barmer; case registered,1
Milestone: PM Modi enters 20th year in public office without break,1
AIADMK announces E Palaniswami as CM candidate for 2021 TN polls; gets 11-member steering committee,1
Bihar Assembly Election 2020: List of Congress candidates likely to be fielded for 20 seats,1
"Bombay HC grants bail to Rhea Chakraborty, rejects brother Showik's plea",1
"Amid COVID-19, 85.17% voter turnout recorded in third phase of Rajasthan Panchayat elections",1
"Hathras case: On Yogi's orders, SIT gets 10-day extension to submit report",1
"Jobs for women in AP: 5,905 Anganwadi posts to be filled soon",1
"Data: Between 2000 & 2020, Asian American voters grew by 139%, more than any other group",1
Data: The analysis of Electoral Bonds sold in January 2020,1
Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats,1
Political donations through Electoral Bonds are 10 times the contributions received by Electoral Trusts,1
"Income of National Parties soars in 2018-19, thanks to Electoral Bonds",1
"6 years on, NOTA vote share declines. Reserved seats still poll a higher NOTA share",1
Decline in NOTA share continues in Jharkhand Assembly Elections of 2019,1
Only Half the State parties submitted their audit & contribution reports till date,1
Both the BJP & Congress submit details of Electoral Bond donors after the Supreme CourtÕs due date?,1
"Amidst the debate around ÔOne Nation, One ElectionÕ, here is a look at other Electoral Reform proposals?",1
"Till date, Electoral bonds worth ? 4715 Crores encashed in New Delhi alone",1
[Infographic] The Story of Electoral Bonds,1
"Even in 2019, greater vote share for NOTA in ÔReserved ConstituenciesÕ",1
2019 Lok Sabha Elections: NOTA Vote share highest in Bihar,1
[Video] Here is how the Counting of Votes takes place,1
? 3622 Crores is the amount of Electoral Bonds purchased in March & April 2019?,1
Data doesnÕt indicate any correlation between use of EVMs & Anti-Incumbency,1
Why is there no readjustment of Lok Sabha seats after every Census?,1
How is Security Deployment Plan for Elections made?,1
Tracking BJPÕs 2014 Manifesto Promises: Health Services -1,1
Clearing the air on Tendered Votes & other special cases,1
When 480 candidates contested from Nalgonda,1
Less than 1% NRIs registered as Voters. More than 90% of the registered from Kerala,1
2014 Vs 2019: Andhra Pradesh is the only state where the number of Voters has decreased,1
More than 50% of the Income of National Parties in 2017-18 from ÔUnknown SourcesÕ,1
The Diminishing role of ÔIndependent CandidatesÕ in Lok Sabha elections,1
What is the expenditure incurred for conducting ÔLok SabhaÕ Elections?,1
The Curious case of NOTA vote in Reserved Constituencies,1
Data suggests that support for NOTA is decreasing,1
"Number of Political parties increased twofold in the last 10 years, crosses the 2000 mark",1
How many times did a Political Party secure more than 50% of the polled vote?,1
[Explainer Video] What is the Model Code of Conduct enforced during Elections?,1
[Video] When do Political Parties get recognized as ÔStateÕ or ÔNationalÕ Party?,1
"What do alphabets ÔEÕ, ÔSÕ, ÔQÕ, ÔRÕ, ÔMÕ on the Electoral Roll indicate?",1
Who stands to benefit from Simultaneous Elections?,1
Why are Electoral Bonds not available in some cities? Because SBI is yet to update the software,1
Are Voters preferring NOTA? Ð Part 1,1
A detailed review of newly launched ÔRTI OnlineÕ portal of Election Commission of India,1
Source of Income in Election affidavit Ð What did some of the prominent candidates in Karnataka mention?,1
Fact Check: Amit Shah is wrong. BJP lost only 6 seats with a margin less than NOTA,1
The NOTA story of 2018 Karnataka elections,1
Making sense of the Rajya Sabha results (March 2018),1
[Explainer Video] Electoral Bonds & their Impact,1
The NOTA Story of Gujarat 2017,1
"Amidst the tussle between Govt & EC, the Citizen suffers",1
Scuttling Transparency? ÊElection Commission does not respond to 2000 ÔRTI OnlineÕ applications,1
How to become an Indian Voter?,1
The Math of Rajya Sabha elections,1
Why did the EC reject the votes of Gujarat Congress MLAs?,1
"After 20 different elections, Congress party now opposes NOTA in RS elections",1
What is the highest ever vote share of the Winner in the Presidential Election?,1
A DummyÕs Guide to the Vice-PresidentÕs Election,1
A DummyÕs Guide to the President of IndiaÕs election,1
What is the lowest ever voting percentage in an election in Jammu & Kashmir?,1
Are you an Overseas Indian willing to Vote in Indian Elections? Here is something for you,1
A quarter of the seats in Tamil Nadu were won with a margin of less than 3%,1
Who is in power 2011 Ð 2016?,1
Did NOTA make an impact in the five states?,1
These 69 seats may well decide the fate of Tamil Nadu elections,1
The curious case of Sambhaji Lakshman Patil Ð How the law is helping him hold two positions (that of a MLA & a Councilor),1
Here is how the members of the Legislative Council (Vidhan Parishad) in states are elected,1
NOTA count more than the Margin of Victory in 21 constituencies of Bihar,1
Statistical Highlights of the Bihar 2015 Assembly Elections Ð Part 1,1
The Election Commission Suspends Voter ID Ð Aadhaar Seeding following the Supreme Court Order,1
Linking your Voter ID with Aadhaar is not mandatory & your name will not be deleted from the Voter List,1
The Financial Reporting of our Political Parties is as good as Nothing,1
Number of Political Parties in India growing Faster than the Economy,1
AAPÕs Thumping Victory in Numbers Ð Analysis of Delhi Assembly Elections 2015 Results,1
"Protests Against Farm Laws: Day after he asked farmers to burn PM‰Ûªs effigy, Chaduni booked for ‰Û÷promoting enmity‰Ûª",1
Himachal to resume interstate bus service from today,1
Railways to operate 392 festival special trains from October 20 to November 30,1
"As soyabean price inches closer to MSP, farmers follow ‰Û÷wait & watch‰Ûª policy to offload their product",1
"Show cause notices for closure issued to Flipkart, Patanjali over PWM Rules, CPCB tells NGT",1
"Three Dalit sisters, all minors, attacked with acid in Uttar Pradesh",1
Aarogya Setu app helped identify Covid-19 clusters: WHO,1
Congress leader files counter-complaint against woman party worker over Deoria meeting ruckus,1
Rajya Sabha polls to fill 11 vacancies on November 9,1
Disturbed Areas Act amendment in Gujarat gets Presidential assent: Pradeepsinh Jadeja,1
"14 Days after giving birth, Ghaziabad‰Ûªs officer for Covid returns to office, with newborn in tow",1
J&K cops: Three school teachers held under PSA,1
Gujarat: BJP candidate Jitu Chaudhary files nomination,1
"Hathras case: UP govt being ‰Û÷unethical‰Ûª, not doing its job, say Congress leaders Rahul, Priyanka Gandhi",1
"Bollywood producers move court, name two news channels making ‰Û÷irresponsible, defamatory remarks‰Ûª",1
Hathras victim‰Ûªs family appear before HC; next hearing on November 2,1
Jammu: 3-time Congress MLA Mohammad Sharief Niaz passes away,1
PM Modi to address people of Bengal on Durga Puja: Kailash Vijayvargiya,1
"After AIADMK, DMK blows Tamil Nadu poll bugle, announces manifesto panel",1
"Arrested on way to Hathras: Driver among 4 booked for sedition, family says he did not know the others",1
"Property cards launched; will end disputes, says PM Modi",1
Five Congress turncoats in BJP‰Ûªs list for Assembly bypolls in Gujarat,1
Active Covid cases over 30K in Bengal as recovery rate takes a hit,1
Coronavirus India Highlights: Himachal Pradesh CM Jairam Thakur tests positive,1
"Odisha: Day after birthday bash, BJP MP‰Ûªs office sealed",1
"AIIB, World Bank-funded project to invest $1.5 bn in India‰Ûªs Covid fight",1
"Delhi: Dalit rights body stages protest, demands strict action against Hathras accused",1
Muslims most happy in India: Bhagwat,1
Tenders invited to construct ropeway to connect banks of Narmada river at Kevadia,1
"Finally, 32 mills get Maharashtra govt guarantee, but owners say measure may have come too late",1
Social activists write to CM against efforts to lift prohibition in Gadchiroli,1
Phoolka posts on Paswan‰Ûªs efforts to give refuge to Sikh man during 1984 riots,1
"Paswan‰Ûªs body flown to Patna, cremation today",1
Cabinet says Paswan ‰Û÷voice of the oppressed‰Ûª,1
"20 years later, four UP cops among 6 booked for ‰Û÷framing‰Ûª man in drug case",1
"Banda: Man kills wife, carries her head to police station",1
BJP leader shot dead in UP‰Ûªs Azamgarh,1
Yoga enthusiast from US raped in Rishikesh,1
"Coronavirus HIGHLIGHTS: With 59,88,822 recoveries, India‰Ûªs recovery rate rises to 85.81%",1
"Vadodara: Man booked for rape after talk on ‰Û÷good touch, bad touch‰Ûª leads police to him",1
Gujarat on alert for vessel with toxic material ‰Û÷heading to Alang‰Ûª,1
Ezhava community group slams Kerala govt over V-C appointment,1
"Maharashtra has adequate Remdesivir stock, shortage as patients want cheapest drug, say FDA officials",1
HAL assistant supervisor held for ‰Û÷sharing‰Ûª fighter aircraft details with ISI,1
"Himachal: Born in captivity, six Western tragopans released into the wild",1
"NHRC issues advisory on protection of women‰Ûªs rights, lists sex workers under ‰Û÷women at work‰Ûª section",1
Gujarat: Covid cases per day drop,1
Govt to modify salary structure of contractual workers under NHM,1
"Covid-19 vaccine candidates: Dr Reddy‰Ûªs, Bharat Biotech, Bio E told to revise proposals for human trials",1
Two Kerala MPs write to PM Modi over journalist booked under UAPA,1
RLD holds mahapanchayat in Muzaffarnagar,1
"Unable to cope with wife‰Ûªs death, man kills 3 minor children, hangs himself",1
Agriculture dept urges soyabean farmers to reuse produce as seeds for next season,1
‰Û÷Miss you Papa‰Ûª: Chirag shares childhood pic with Ram Vilas Paswan as he announces father‰Ûªs demise,1
There is a free media in India: MEA on Chinese embassy‰Ûªs Taiwan guidelines to journalists,1
"‰Û÷A firebrand socialist, voice of oppressed‰Ûª: Leaders pay tribute to Ram Vilas Paswan",1
Chhattisgarh Police exhume girl‰Ûªs body months after her ‰Û÷gangrape‰Ûª,1
India: UNSC should not be misused with ‰Û÷retaliatory intent‰Ûª to name innocent civilians as terrorists,1
"At rail roko in Amritsar, farmers rue Wagah trade falling off govt policy charts",1
"Centre appoints chief commissioner for gurdwara polls, sets ball rolling",1
"Yogendra Yadav: ‰Û÷Punjab took Badals‰Ûª wicket, Haryana‰Ûªs turn to bowl Chautalas out‰Ûª",1
Ex-CBI chief Ashwani Kumar found dead in Shimla home,1
"As stubble-burning season begins, sharp spike in farm fires",1
"5 yrs after IAS officer‰Ûªs death, Cong springs a surprise, fields wife in Karnataka bypoll",1
Bihar elections: RJD first list names 42 candidates,1
Election Commission reduces number of star campaigners for Bihar polls,1
Haryana to set up ‰Û÷Mining Minister Flying Squad‰Ûª,1
Shaheen Bagh protest ‰ÛÓ SC order cites mediator report: Many influencers,1
Kerala gold smuggling case ‰ÛÓ Accused appointed with knowledge of CM: ED chargesheet,1
"In search of a better life, sex workers in Amalner hone their entrepreneurial skills",1
Increasing use of nitrogen fertilisers in global food production jeopardising climate goals: Study,1
"Sirsa emerges epicentre of farmers‰Ûª protest in Haryana, stand-off between police, protesters continues",1
Inter-state bus service may resume soon: Lockdown eats up 82% of expected revenue of HP Road Transport Corp,1
"Indian mom survives Covid-19, delivers baby in UAE",1
Punjab School education department announces dates for Talent search Examination,1
"Rhea Chakraborty gets bail in drugs case, released from Byculla jail after nearly a month",1
Farmers to consider Capt Amarinder Singh‰Ûªs appeal for easing ‰Û÷rail roko‰Ûª,1
"In Haryana, Rahul says UPA will scrap farm laws, throw China out if voted back",1
"UP: Mother, baby die during quack-assisted delivery, bodies dumped outside clinic",1
Edappadi Palaniswami is AIADMK‰Ûªs Chief Ministerial candidate for 2021 election,1
Telangana agrees to withdraw case filed in SC related to sharing of Krishna & Godavari water,1
"Ex-MoS Dilip Ray, others convicted in coal blocks allocation scam",1
Probe ordered after MLAs who tested positive attend funeral,1
"Covid management protocol on ayurveda, yoga out",1
CM Pinarayi Vijayan says Kerala figures better than national average on many counts,1
Mamata Banerjee announces jobs for Maoist victims‰Ûª families in Jangalmahal,1
Jaishankar at Quad meet: India committed to respecting territorial integrity,1
"Punjab minister Balbir Sidhu tests Covid positive, had shared stage with Rahul Gandhi",1
"Give me free press, other institutions and this govt won‰Ûªt last long: Rahul Gandhi",1
‰Û÷Extraordinary and shocking‰Ûª: SC seeks UP response on witness protection in Hathras case,1
World watching‰Û? be extra careful: CEC to Bihar poll observers,1
"Rahul rally won‰Ûªt be stopped, but large crowds won‰Ûªt be tolerated: Manohar Lal Khattar",1
SC issues notice on plea by MP over Basmati GI tag,1
Over 20 lakh street vendors line up for PM loan scheme ‰ÛÓ despite red tape,1
"Hathras case: Investigation on, not proper on my part to comment, says Irani",1
"BJP MP‰Ûªs aide shot: Victim‰Ûªs father points finger at ruling TMC, demands CBI investigation",1
"Man donates plasma six times, highest in Haryana",1
"Ahead of festive season, govt plans awareness campaign to contain Covid",1
"Rahul Gandhi man of ‰Û÷foreign mentality‰Ûª, should learn nationalism from nationalists: BJP MLA",1
"In fresh FIR, Hathras police claims ‰Û÷international plot‰Ûª to defame Yogi govt",1
Kerala Lottery Today Results announced: First prize is worth Rs 75 lakh!,1
Karnataka to develop new cybersecurity policy to strengthen digitisation,1
In no scenario can China get the better of us: IAF chief Bhadauria,1
"Seeking justice for Hathras victim: Over 5,000 safai karamcharis on strike in Agra",1
"2019 Unnao gangrape-murder ‰ÛÓ Victim‰Ûªs nephew missing: Police file abduction case, three cops suspended",1
Sengar seat bypoll: Congress raises pitch over Hathras,1
‰Û÷Will seek nod for fast track court‰Ûª: Officials meet Balrampur victim‰Ûªs family,1
Only 41 districts in country with severe or extreme dry conditions: Report by IMD,1
"Hathras case: Bhim Army chief, SP, RLD meet victim‰Ûªs family; accused defended at BJP leader‰Ûªs house meet",1
"Punjab Police busts Khalistan Zindabad Force terror module, arrests 2",1
Mukesh Sahni-led VIP to contest all 243 seats in Bihar,1
‰Û÷Reprehensible‰Ûª: Editors Guild on UP govt preventing media from visiting Hathras village,1
"With spike in Covid cases, Kerala issues prohibitory orders",1
"Day after testing Covid-negative, Jharkhand minister dies of cardiac arrest",1
UP‰Ûªs new information dept chief was crisis manager to two former CMs,1
VHP meet in November to discuss campaign for Ram temple donations,1
"For Rahul‰Ûªs tractor rallies, Punjab cites farmers‰Ûª stir to bypass Unlock 5.0 norm",1
"Bihar elections 2020: Chirag Paswan hails Modi, seeks support for ‰Û÷Bihar first‰Ûª agenda",1
"Veteran activist, scholar Pushpa Bhave passes away",1
Discriminatory: RJD‰Ûªs Manoj Jha moves SC over new farm laws,1
Oppn also thought of improving farm laws but lacked courage: PM Modi,1
Maharashtra govt issues guidelines for restaurants which are set to reopen,1
‰Û÷Himachal ka chhokra‰Ûª: PM‰Ûªs affectionate reference to Anurag Thakur,1
"Bihar polls: Tejashwi announces Grand Alliance‰Ûªs seat-sharing deal, Congress to contest from 70 seats",1
Previous govts lacked courage to effect farm reforms due to poll-focussed mindset: PM Modi,1
Meerut: 8-yr-old raped by teen neighbour,1
Mango Special to Banana Special: Kisan Rail gets on track,1
"Bhadohi police rules out rape, say 11-year-old Dalit girl was strangled",1
"In NCB shadow, Karan Johar says inspired by PM Modi for I-Day project",1
"Hathras rape case: Under fire, UP Govt suspends SP, orders narco test of accused, victim families",1
Hathras rape case: FSL got victim‰Ûªs samples 11 days after crime,1
"Maharashtra: From 7,000 domestic violence cases in a year before Covid, tally dips to 883 in last 6 months",1
Gujarat: Groundnut production estimated to be higher this Kharif season,1
"Former TRAI chairman R S Sharma: ‰Û÷Can‰Ûªt differentiate between digital, non-digital ‰Û? need converged regulator‰Ûª",1
"Hathras gangrape: Those who think of harming women‰Ûªs self respect will be destroyed, says Yogi",1
"Now, TMC MPs barred from entering Hathras, roughed up by UP police",1
Farmers‰Ûª protests on path shown by Mahatma Gandhi will be successful: Sonia Gandhi,1
NIA files chargesheet in murder of Chhattisgarh MLA Mandavi,1
NCRB report: Sedition cases up in 2019 but conviction at all-time low,1
Quad meet to focus on global order after Covid,1
"Babri demolition verdict: Accused not named in depositions, top officials say could not hear speeches, cite noise and dust",1
Balrampur victim had 10 injuries on body: postmortem report,1
"Affront to right to life: SC junks Gujarat orders on wages, longer hours of work",1
"Bihar elections: Chirag Paswan meets Amit Shah, NDA seat formula almost final",1
Record high of 6 crore households availed of NREGA since April,1
"Bihar elections: After loyalty ‰Û÷warning‰Ûª from Lalu Prasad, RJD not ready to give Congress more than 60 seats",1
"Prashant Bhushan moves SC, seeks review of its Re 1 punishment",1
"Haryana: To oppose farm laws, INLD to protest in 14 districts on October 6",1
"Haryana says changes made in procurement process for ease of farmers, millers",1
"As Covid-19 cases rise, Kerala bans gathering of more than 5 people",1
Anti-Tank Guided Missile successfully test-fired again by DRDO,1
"Senior UP cop claims Hathras woman was not raped, cites forensic report",1
Congress Rajya Sabha MP Ahmed Patel tests positive for coronavirus,1
"Minor girl gangraped by 3 men in Madhya Pradesh, hunt on for culprits",1
Largest contact tracing study in India shows COVID-19 transmitted mainly by ‰Û÷superspreaders‰Ûª,1
"Meticulously planned, Uma Bharti took onus: Justice Liberhan on Babri Masjid demolition",1
Far from justice: Muslim law board asks CBI to appeal Babri demolition case order,1
Kaprada seat: Prakash Patel throws his hat in the bypoll ring as independent,1
"Babri Masjid demolition: Advani, Joshi and Uma among all 32 cleared, court says no evidence",1
"Rs 100 cr, multiple clearances required to save INS Viraat",1
Odisha passes Bill for stricter penalty for Covid rules violation,1
"Bihar elections: Won‰Ûªt succumb to anyone‰Ûªs attempt to finish party, says Chirag Paswan",1
"In Bihar, alliances try to outdo each other for larger share of Dalit votes",1
"Babri Masjid case: Congress must apologise for its conspiracy now, says Yogi Adityanath",1
"Babri Masjid case verdict: Special judge presided over trial since 2015, got 3 extensions",1
"‰Û÷Covid-19 situation in Latur district under control, CFR has come down to 2.8 pc‰Ûª",1
NHRC advisory: ‰Û÷No patient should be denied emergency medical care for Covid-19 and non-Covid conditions‰Ûª,1
"Soybean, cotton procurement centres to start registering farmers from today",1
"TMC MP Nusrat Jahan gets death threats for posing as Goddess Durga, seeks security for UK trip",1
"Unlock 5.0 guidelines: Cinema halls can open, states to decide on schools from October 15",1
Bihar creating jobs through agricultural policies: Narendra Singh Tomar,1
SNC-Lavalin graft case: Top court to hear CBI appeal against Pinarayi Vijayan‰Ûªs discharge,1
"To Mosul and back, Kerala ISIS man‰Ûªs extraordinary brush with terror",1
New laws like a stab in farmers‰Ûª hearts: Rahul Gandhi,1
"Astrosat completes 5 years of successful mission, has ‰Û÷more scientific discoveries in store‰Ûª",1
"Babri order today, in the dock are Advani, Joshi, Bharti",1
"Hathras gangrape: ‰Û÷My daughter said she wanted to come home‰Û? She was conscious again, I thought she would survive‰Ûª",1
"Hardening stance, China rejects Ladakh UT, raises 1959 claim line",1
J&K power corporation‰Ûªs lax supervision behind hydel project delay: CAG,1
Just 6.6% exposed to Covid till August: New sero-survey,1
Maharashtra: Palghar district on alert over Congo fever,1
IAF fully resolved to counter any ‰Û÷misadventure‰Ûª in eastern Ladakh: Air Chief Marshal RKS Bhadauria,1
Farmers Protest Live Updates: ‰Û÷Rail roko‰Ûª agitation enters sixth day,1
"Ayodhya Trust plans to build 1,200 temple pillars by next March, finish first floor by 2022",1
Three killed after under construction building collapses in Vadodara,1
Need for more clarity on ruling in land acquisition matter: Supreme Court,1
"INS Viraat reaches final port, set for dismantling",1
‰Û÷Deepika Padukone was questioned about some words in chats‰Ûª,1
"DAC nod to buy 73,000 US SiG Sauer rifles for Rs 780 crore",1
Bangla ‰Û÷hitmen‰Ûª held for plot to kill TMC leader: Police,1
"Govt doctors from Yavatmal protest ‰Û÷ill treatment‰Ûª, present list of demands to district collector",1
Will join farmers‰Ûª protest outside Dushyant Chautala‰Ûªs house: Yogendra Yadav,1
46 Covid deaths reported in Punjab,1
Sushant Singh Rajput death case: CBI says no aspect ruled out amid questions over pace of probe,1
"Jharkhand: Truck carrying liquor bottles hidden in sand overturns, villagers feast",1
Maharashtra‰Ûªs Chief Secretary goes into home isolation after testing positive for Covid-19,1
"Kerala: Denied timely treatment, Covid-recovered pregnant woman loses twin babies; govt orders probe",1
Rhea ki aukaat to waiver from govt: how Bihar DGP Gupteshwar Pandey stoops to conquer,1
"Every sector could decide cost, buyer; farmers couldn‰Ûªt. New laws will give freedom to trade: Narendra Singh Tomar",1
Punjab: Three BJP leaders resign after Prez signs farms Bills,1
Police summon ex-DGP Saini to join probe in Balwant Multani case,1
Mohali: Two minor boys arrested gangraping 7-year-old girl,1
Bhopal: Two railway employees held for gangrape on station premises,1
"Terrorists in J-K hide in bunkers under toilet, seasonal streams to evade security forces",1
