Statement,Actual (y),Predicted (ŷ)
"This video shows Indian police conducting an anti-terror drill, police say",0,0
Punjab Police gets 108 social media accounts blocked,1,1
"No, this is not a video of cash seized at Indian politicians homes -- its an art installation",0,0
Copycat Tweets Hailing Demonetisation Emerge After RBI Report,0,0
"Floodwaters receding in Assam, claim one life death toll climbs to 39",1,1
Tricolour on iconic monuments worldwide on R-Day? Whats the fact?,0,0
Did people in Saudi Arabia protest against PM Modi?,0,0
Fact Check: Are sea turtles making beeline for Mumbai beach after cleanup?,0,0
Viral Building Collapse Video Claiming To Be From Mumbai Is Old,0,0
'PM at 45 by joining BJP?': Congress leader hits out at Sachin Pilot,1,1
Over 200 cases against lawmakers under special laws pending in different states: SC told,1,1
Did the Army Chief give a controversial statement? Fact Check!,0,0
Video Of BSF Jawan Breaking Down Over Land Grab Case Falsely Linked To ...,0,0
"With spike in Covid cases, Kerala issues prohibitory orders",1,1
Fact Check: Did Manmohan say Congress will pay heavily for protesting govts move on JK?,0,0
The image has been digitally manipulated from a photo of a Mahatma Gandhi statue,0,0
"Fertiliser scam: ED raids residence of Ashok Gehlot's brother, other places in Delhi, Rajasthan, Gujarat, Bengal",1,1
Atal tunnel expected to usher in development for Lahaul,1,1
"PM Modi to launch a 750 MW Solar Project set up at Rewa, Madhya Pradesh",1,1
Unrelated Picture Of Man Being Flogged Misidentified As Bhagat Singh,0,0
"No, this building is not a local office of the Indian National Congress party",0,0
Fact Check: Were Indian flags waved at a political rally in Pakistan?,0,0
Rajya Sabha passes FCRA Bill amid opposition boycott,1,1
DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,1,0
Viral Charlie Hebdo Cartoon On Shaheen Bagh Protestors Is Fake,0,0
"No, this is not a video of an elephant trampling a man to death in India",0,0
Video Of Effigy Burning Stunt Gone Wrong Revived With A False Claim,0,0
Fact Check: RPF constables death in accident linked to anti-CAA violence,0,0
This footage has been taken from a video game,0,0
Kerala Congress faction to keep away from UDF's no-trust motion,1,1
"With mandatory face masks, staggered seating arrangements, JEE exams begin today",1,1
Rahul Gandhi suggests future Harvard studies on 3 'failed policies' of PM Modi,1,1
Is Shah Rukh Khan starring as Tipu Sultan in a movie?,0,0
Fact Check: Is Dr. Saibal arrested again by Chhattisgarh Government?,0,0
"Farmers stage protests across country against new farm bills, stir set to intensify",1,1
Fact Check: This is a big lie about a little bird,0,0
Hoax: Old News Of Plastic In Snickers Chocolate Bar Resurfaces,0,0
Karan Johars Ae Dil Hai Mushkil Breaks All Records,0,1
The Curious case of NOTA vote in Reserved Constituencies,1,1
This 2016 video shows a remote-controlled toy aircraft performing stunts,0,0
"NCRB data: Higher share of Dalits, tribals, Muslims in prison than numbers outside",1,1
"Himachal Pradesh aims to grant Rs 2,000 crore loan to MSMEs for economic revival",1,1
"Facebook bans BJP leader T Raja Singh for violating policy on content promoting hate, violence",1,1
"No, this video does not show Hindu siblings who were assaulted by Muslim men after an attempted rape in India",0,0
COVID-19 Vaccine To Alter DNA? 5 False Claims By Christiane Northrup,0,0
"Forced by Covid spike, U'khand govt scraps decision to reopen schools from 21 Sept",1,1
"Fact Check: Before US presidents visit, a sensational Trump lookalike video goes viral",0,0
"Modi Accepts This Guy Is More Responsible For Congress Mukt Bharat, Praises Sonia",0,1
NOTA count more than the Margin of Victory in 21 constituencies of Bihar,1,1
"Chinese tourists holiday in Indian hotspot? No, theyre actually in Tibet",0,0
"Kerala: Over 100 cops test positive for Covid-19, CM blames Opposition protests",1,1
Hizbul trying to reestablish its base in North Kashmir: Army,1,1
BJP launches MutterMan to counter MufflerMan,0,1
"SC dismisses six non-BJP ruled states' plea to review decision on JEE, NEET exams",1,1
"Gujarat MP Abhay Bharadwaj put on artificial lung support, Paatil recovers from Covid",1,1
Fact Check: Who's this man putting his foot on a Hindu idol?,0,0
10 embarrassingly funny pictures of BJP protests they would regret,0,1
Notice to Uttarakhand MLA over 'tarnishing' govt's image,1,1
Kashmir's Hilal Ahmad Rather becomes first IAF pilot to fly Rafael jet,1,1
Heavy rainfall forecast in North Bengal areas,1,1
All you wanted to know about these 'sheros' of Jamia,0,0
"Fact Check: No, the man PM Modi is paying homage to is not Nathuram Godse",0,0
India crosses nine million COVID-19 tests,1,1
HoaXposed: National flag not hoisted at Red Fort post sunset because of the code,0,0
NCB should probe if Kangana had said she took drugs: BJP leader,1,1
Agriculture dept urges soyabean farmers to reuse produce as seeds for next season,1,1
Saligram Stone at Jagannath Temple has not been taken out Fact Check,0,0
Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats,1,1
Fact Check: Is that an eagle clutching a shark in its claws?,0,0
"COVID-19 recovery cases more than active cases, improve further to 60",1,1
"Fact Check: Food in Parliament dirt cheap? No, these are old rates",0,0
"Centre violated law, used funds for GST compensation elsewhere: CAG",1,1
Rafale to the game: Resurrected 17 Squadron 'Golden Arrows' to form tip-of-the-spear of IAF's offensive power,1,1
Fact Check: Does this flower bloom every 36 years? Know the truth behind Nagapushpa,0,0
Warangal mockdrill hits headlines as terror attack Heres the truth,0,1
Andhra CM asks PM Modi for Bharat Ratna to SP Balasubramanyam,1,1
Haryana Assembly monsoon session lasts 168 minutes,1,1
Video Of Crowd Thrashing Drunk Constable Shared As BJP Supporters...,0,0
Tripura CMs claim that internet existed during Mahabharata failed our accuracy test 100,0,1
SNC-Lavalin graft case: Top court to hear CBI appeal against Pinarayi Vijayan's discharge,1,1
Viral Image Does Not Show Under-Construction Ram Temple In Ayodhya,0,0
"Frustrated With Kejriwal Ads, Aliens Threaten To Destroy Earth",0,1
Banned 59 Chinese apps told to strictly adhere to orders or face serious action: Govt,1,1
Karnataka BJP chief Nalin Kumar Kateel tests positive for coronavirus,1,1
Will join legal battle to free temples in Varanasi and Mathura: Akhara Parishad,1,1
Fact Check: Conspiracy theory claims Sushant was killed for a corona testing patent,0,0
No all-party meeting before monsoon session Business Advisory Committee to meet today,1,1
ISIS is not trying to hack your WhatsApp profile picture,0,0
The information about five children who ran away from their house is being spread as if they were kidnapped by a child-snatching gang.,0,0
Six Congress MLAs in Manipur quit Assembly,1,1
"Ghaziabad: Woman's body stuffed in suitcase misidentified, later found alive",1,1
"No, Amitabh Bachchan has not tested negative for COVID-19",0,0
Sushant's sister Priyanka 'groped' me: Rhea Chakraborty claims in her statement,1,1
Old Footage Of Assault On MP Doctor Shared Amidst Doctors' Strike In...,0,0
Fact Check: Viral map of India shows wrong bifurcation of JK,0,0
Social media abuzz over Kerala police version of 'George Floyd' attack,1,0
Fact Check: Tracing the quarantine facility where people are grooving to Lungi Dance,0,0
Misleading claim circulates online about New Zealand Prime Minister Jacinda Ardern's visit to Hindu temple,0,0
Niti Aayog seeks feedback on Data Empowerment and Protection Architecture draft,1,1
'India already seeing green shoots of economic recovery': PM Modi at India Global Week 2020,1,1
World Bank and Government of India sign 750 million agreement for Emergency Response Programme for MSMEs,1,1
Death Hoax: Social Media Posts Falsely Claim Kapil Dev Has Passed Away,0,0
11 killed as crane collapses at Hindustan Shipyard in Visakhapatnam many feared trapped,1,1
"No, these photos do not show campaigners for Indian political party Trinamool Congress fighting with police in West Bengal",0,0
"No, this is not a real photo of Pakistani Prime Minister Imran Khan having dinner with Indian Prime Minister Narendra Modi",0,0
Fact Check: US cartoonist Ben Garrison did not make this caricature on Indian media,0,0
Citizens with mild to medium form of colour blindness eligible to obtain Driving License: Govt,1,1
Indian Media Trolled For False Claims Of 'Civil War' In Pakistan,0,1
SC for relook at 2004 verdict on quota sub-classification,1,1
"India's coronavirus tally crosses 45-lakh mark records single-day surge in cases, fatalities",1,1
"Mahabharata lasted 18 days, COVID-19 has crossed 100 and still counting: Shiv Sena jibes at PM Modi",1,1
BSF trooper shoots himself in JK's Kupwara district,1,1
Fact Check: Is Indira Gandhi posing with her husband and father-in-law in this photo?,0,0
Delhi HC extends time granted for filing objections to draft EIA notification,1,1
This photo shows a yoga retreat in the southern Indian state of Kerala,0,0
"MP girl who cycled 24 km daily to pursue studies, scores 98.75 per cent marks in Class 10",1,1
"Supreme Court allows Prashant Bhushan, Arun Shourie and N Ram to withdraw contempt plea",1,1
Congress claims support of 109 MLAs as Sachin Pilot rebels,1,1
HoaXposed: Fake video claims that Modi didnt care while man was dying behind him on stage,0,0
"Pranab Mukherjee: Erudite politician, constitutional purist, Congress' troubleshooter",1,1
"Government Has Returned 15 Lakhs As Promised, You Just Dont Know About It",0,0
"No, This Is Not One Of The Accused In Bihar's Gulnaz Khatun Case",0,0
"No, this is not a photo of an Indian soldier injured in a Kashmir suicide bomb attack",0,0
Lt. Governor Sinha revamps system following complaints of officers not responding to grievances,1,1
"Testing on demand, rapid antigen tests for people living in containment zones: ICMR's new guidelines",1,1
Fact Check: Kumbh Mela buses passed off as migrant buses arranged by Priyanka Gandhi,0,0
"Fact Check: The corpse wears Prada? No, this is a spoof",0,0
"LIVE: India's cases per million among lowest, says health ministry",1,1
BJP MPs Uninstall Torrent Applications To Protest Against Anurag Kashyap,0,1
"Amid border row with China, India imposes restrictions on public procurement from its land neighbours",1,1
"No, this photo is not of a poor Indian child suffering from cancer",0,0
Fact Check: Did Kodiyeri Balakrishnan gave such a statement on the accusations made against Binoy Kodiyeri?,0,0
The information on Deposit Insurance Cover released by RBI in 2017 is currently being circulated as the latest information issued by the Bank,0,1
"Taking Cue From Bihar, Arvind Kejriwal Orders Topper Auction In Delhi",0,1
"No, these videos do not show Indian, Pakistani warplanes in Kashmir",0,0
India's Covid-19 cases approaches close to 64-lakh while death toll nears 1-lakh mark,1,1
Appoint a Nodal Officer to redress grievances of healthcare workers: Delhi HC,1,1
Election Commission extends polling time by 1-hour for Bihar Assembly elections,1,1
"No, this is not a photo of the first Muslim major general in the United States Air Force",0,0
"Fact Check: No, the woman in the viral photo is not Parle-G girl",0,0
"Astrosat completes 5 years of successful mission, has 'more scientific discoveries in store'",1,1
Footage of axe attack in Pakistan circulates as sectarian hoax in India after COVID-19 lockdown,0,0
This photo has circulated in reports about a road in the north Indian state of Bihar since 2017,0,0
Army starts permanent commission for women officers,1,1
"Former Indian cricketer Chetan Chauhan dies, was hospitalised after testing positive for Covid-19",1,1
Video Of Collection Of Mail-in Ballots Viral As Voter Fraud In...,0,0
Dont believe Dr Manisha Patils death rumor Here is the truth about the viral photo,0,0
"With 19,906 cases in 24 hours, India's COVID-19 tally crosses 5.28 lakh, death toll climbs to 16,095",1,1
"Did Kalraj Mishra say on stage, If I come down, Ill shoot you? Fact check",0,0
"Kiran Bedi Says She Is Ready To Be Bihar CM Candidate, Leaves BJP Nervous",0,1
"Fact check: No, Nirmala Sitharaman never said onion price rise doesnt matter to her",0,0
"Monsoon session: Oppn boycott on, Rajya Sabha passes 8 Bills in less than 4 hours",1,1
"No, this is not a photo of a temple in India dedicated to the Hindu god Shiva",0,0
"Pakistan issues Kashmir stamps, using fake image of Pandits protest",0,1
Rajasthan: Govt plans austerity measures in wake of revenue shortage,1,1
"3 dead after heavy rains lash Delhi for 3 hours several areas witness waterlogging, houses flooded",1,1
Fact Check: Know the truth behind viral video of passenger agitation at Delhi airport,0,0
Bihar DGP gives clarification on 'aukaat' remarks against Rhea Chakraborty,1,1
"NIA files chargesheet against JeM chief Masood Azhar, 19 others in Pulwama terror attack case",1,1
Bengaluru's Modi Masjid Named After PM Modi And Other News You Almost...,0,0
Shri Ram Janmabhoomi Teerth Kshetra Trust receives Rs 41 crore donations for construction of temple,1,1
Mahad Building collapse: 'Building started developing cracks three years after it was constructed',1,1
"Forwards of Hindu-Muslim violence in Bihars Bhagalpur are from old, unrelated incidents",0,1
"NIA nabs 9 Al-Qaeda terrorists from Kerala, Bengal were motivated to attack locations including Delhi",1,1
"No, this video does not show an Indian politician expressing support for Rohingya refugees",0,0
Fact Check: Aerial shot of huge region submerged in floodwater is not from Bihar,0,0
Photoshopped Image of Actress Nusrat Jahan Revived After TMC Announces ...,0,0
LAC crisis: India envoy holds talks with China's apex military body,1,1
How a Hindi newspaper backed by Gandhi ignited freedom struggle in Mauritius,1,1
"SC issues notice to Prashant Bhushan, Twitter on contemptuous tweets against judiciary",1,1
Rajya Sabha ruckus: Rajnath terms Oppn conduct 'shameful' Congress calls it 'anti-farmer day',1,1
"Did Pak MPs Chant 'Modi Modi' In Parliament? No, They're Chanting...",0,0
'Deeply concerned' by onion export ban: Bangladesh to India,1,1
"India's Coronavirus cases near 12-lakh mark, death toll rises to 28,732 recovery rate above 63",1,1
"Customs refuses to allow consignments to be sent abroad, exporters in a fix",1,1
Fact Check: Anti-lynching protest in Surat goes viral as vandalism in Mumbai,0,0
Starving Man Asks Politicians To Beat Him To Attract Sympathy,0,1
Gujarat: Paatil to visit Saurashtra from Aug 19,1,1
Corona floods: Bihar villagers reluctant to join poll process,1,1
This is a two-year old video that shows a teacher protest elsewhere in India,0,0
Govt proposes allowing cos with not less than 300 workers to fire staff without its nod,1,1
Union Minister Prakash Javadekar launches 247 channel 'Doordarshan Assam',1,1
Fact Check: Old picture of Kejriwal-Imran Khan meet linked to Delhi election,0,0
'We take allegations of bias seriously': Facebook responds to Congress' letter over hate speech,1,0
"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",1,1
"UNICEF partners with Maha govt, NGOs to provide Covid support",1,1
"No, this video does not show people dancing in London to a Hindi song during the 2019 Cricket World Cup",0,0
"Abrogation of Article 370 has changed relationship between J-K, New Delhi: Kashmir opposition parties",1,1
Photoshopped Image Of Narendra Modi And Other News You Almost Believed,0,0
'Parrikar Died Because He Allowed Beef In Goa': Fake Quote Attributed...,0,0
Is vaccine shortage behind delay in nation-wide Pulse Polio programme?,0,0
"Madhya Pradesh minister tests positive for Covid, fifth in Chouhan Cabinet",1,1
Civic body's objections ignored to push work to carve out illegal colony in Hoshiarpur,1,1
"To corner BJP, TMC to hit the streets over GST dues",1,1
Motor Vehicles Amendment Act 2019 penalties turn people violent? Fact Check,0,0
Cartoon character Shinchan's name appears in Bengal college merit list,1,1
The video of a professor from Kashmir University is being spread using the name of the granddaugher of Maharaja Hari Singh,0,0
Set Of Old Images Revived With 'Civil War In Karachi' Claims,0,1
Fact Check: This woman was not a doctor who died of coronavirus,0,0
2018 video went viral with a false claim that Indian Army is burning houses in Bandipura Kashmir,0,0
"Fact Check: This rickshaw-puller was a lockdown saviour, wasnt jailed for anti-CAA protests",0,0
Fact Check: Did communist government in Kerala impose a blackout on August 5?,0,0
Vadodara MP opposes making of building overlooking Pratap Vilas Palace,1,1
"Additional Chief Secretary, DGP reaches Hathras will submit report to CM upon returning",1,1
Special arrangements at Red Fort by Defence Ministry for 74th Independence Day,1,1
"Veteran activist, scholar Pushpa Bhave passes away",1,1
Nominations for Padma Awards-2021 open till September 15: MHA,1,1
"Senior UP cop claims Hathras woman was not raped, cites forensic report",1,1
"No, this is not a photo of a Muslim woman holding a placard in support of Indian Prime Minister Narendra Modi",0,0
"Medical equipment Purchase 'scam' Three-member inquiry panel eyewash, order judicial probe: Dhankhar",1,1
"As Congress reaches out to Dalits, Brahmins in UP, friction comes to the fore",1,1
Manmohan Singh: UPA was criticised for being selective on projects impacting wildlife,1,1
'Mind your own business': Punjab CM slams Kejriwal for demanding CBI probe into hooch tragedy,1,1
"Rhea Chakraborty's bail plea rejected, in judicial custody till Sept 22",1,1
It is not mandatory to have PUC certificate for a motor insurance claim,0,1
Was A Woman Tonsured For Making Anti-India Comments? A FactCheck,0,0
"My Intention Was Only To Get Laughs, Not To Spread Fake News: Kunal...",0,0
"Soon after PM Modi's announcement, Amit Shah chairs meeting of GoM over PMGKAY",1,1
Flood situation grim in Assam as death toll rises to 97 over 26 lakh people of 27 districts in distress,1,1
2014 Video Shared As Hindu Chants Recited At White House For Joe Biden,0,0
Image Of 'Justice For Sushant' Placards In Nigeria Is Fake,0,0
MP Governor Lalji Tandon passes away,1,1
Fact check: Nasimuddin Siddiqui targetted for a radical Muslim comment that he didn't make,0,0
Akali Dal's stand not in interest of farmers: Fadnavis,1,1
Mathura: Civil suit seeks removal of mosque from 'Krishna birthplace',1,1
PM Modi to address Grand Finale of Smart India Hackathon 2020 tomorrow,1,1
Actor Amit Shah Accuses Irrfan Khans Film Madari Of Stealing Real Madari Poster,0,1
Rahul Gandhi's Temple Visit Photo Viral With Misleading Context,0,0
"No, This Video Is Not Related To The Nice Church Attack",0,0
"No, Cristiano Ronaldo Did Not Donate Rs 77 Cr For Kerala Flood Relief",0,0
"Rahul Gandhi calls out Kamal Naths item remark, says its unfortunate",0,1
US military strategist Edward Luttwak praises PM Modi says China has only Pakistan at its side,1,1
"HC dismisses Sharjeel plea, says lockdown disrupted pace of probe",1,1
Fact Check: Viral claim of China killing 158 Indian jawans is a three-year-old fake,0,0
Unrelated Videos Falsely Shared As French Police Crackdown On Muslims,0,0
Photoshopped image of PM Modi wearing Muslim skull cap shared on social media,0,0
The screenshot of a viral tweet in the name of actor Javed Jaffrey is fake.,0,0
6-yr-old brutally raped in UP's Hapur remains critical all accused still at large,1,1
A Fake Sourav Ganguly Instagram Account Other News You Almost...,0,0
Experts in India refute misleading claim that China-made Holi festival goods are infected with coronavirus,0,0
The old pictures of the floods in Australia were being shared as if they are from current floods in Bihar.,0,0
Fact Check: The infant murdered in Aligarh was not raped reveals post mortem report.,0,0
"Fact Check: Nagma goofs up again, calls anti-govt activist Vajpayees niece",0,0
Parliamentary panel for indigenous applications for virtual courts,1,1
DRDO successfully flight tests hypersonic technology vehicle,1,1
Railways to operate 392 festival special trains from October 20 to November 30,1,1
Fact Check: This tragic story behind the creation of Subway Surfers is not true,0,0
Rs.2000 note banned from Dec 31? Fact check?,0,0
Fact Check: Statement of Dushyant Chautala supporting BJP is five years old,0,0
Fact Check: Did former top cop of Mumbai Ahmed Javed take Re 1 salary?,0,0
"LAC: As hopes recede, Army readies troops for winter deployment",1,1
BJP MP Vijay Goel uses wrong image on Art 370,0,1
Senior scientists question device that claims to kill coronavirus in closed spaces,1,1
Fact Check: AIIMS did not issue this misleading statement on corona symptoms,0,0
Gujarat: ATS arrests man accused of printing counterfeit currency,1,1
Fact Check: Soleimanis funeral procession passed off as anti-NRC protest in Delhi,0,0
Did the central government reject the Delhi Governments proposal to make Metro ride free for women?,0,0
AIADMK announces E Palaniswami as CM candidate for 2021 TN polls gets 11-member steering committee,1,1
Syed Ali Shah Geelani has dissociated himself from strike call in J-K: Police,1,1
"India, China hold talks on border flare-up",1,1
Covid-19: Election Commission to frame guidelines for polls within 3 days,1,1
Contempt power being used as a sledgehammer: Kapil Sibal in defence of Prashant Bhushan,1,1
Fact Check: Is this a photo of Mahatma Gandhi's assassination?,0,0
"Here Is Why People Left Rahul Gandhis Khat Pe Charcha Midway, With Khats On Their Heads",0,0
"Assam BJP trashes statement on CM candidate, praises Sonowal",1,1
"Haryana latest guidelines: Malls, shops to be shut on Mondays, Tuesdays, offices on weekends",1,1
"PM Modi addresses 'Grih Pravesham' event, interacts with beneficiaries under PMAY-G in MP",1,1
"Gujarat: State sees over 1,200 fresh cases 75k samples tested",1,1
Tracking BJPs 2014 Manifesto Promises: Health Services -1,1,1
Odisha govt announces 14-day complete lockdown in four districts to contain COVID-19,1,1
"Fact Check: No, Chowkidar Chor Hai slogans were not raised during PMs Bengal visit",0,0
'Last chance to come up with plan': SC gives two weeks to Centre in loan moratorium case,1,1
"Ahead of festive season, govt plans awareness campaign to contain Covid",1,1
JNU-Fee Hike Row: Morphed Image Of Shehla Rashid Revived,0,1
Fact Check: Netizens confuse 2 popular bloggers in emotional post on love,0,0
Photos From 2019 Maharashtra Polls Shared As EVMs 'Stolen' In Bihar,0,1
"Over 55,000 Coronavirus cases for first time in 24 hrs in India, tally crosses 16 lakh-mark deaths reach 35,747",1,1
Rajeev Chandrasekhar Deletes Misleading Video After Twitter Users Call ...,0,0
Viral Video Of Woman Beaten In Elevator Not From Delhi Metro,0,0
Union Finance Minister Nirmala Sitharaman today targeted Congress over party chief Sonia Gandhi's advice to party-ruled states to bypass the farm laws brought by Centre through legislative measures and said that the opposition party in its 2019 Lok Sabha manifesto had promised the Agricultural Produce Market Committees Act will be repealed.,1,1
Fact Check: Rumours of organ trade under the garb of Covid-19 go viral,0,0
"3 terrorists killed, 1 civilian injured in Jammu and Kashmir's Pulwama",0,1
Twin-jet Rafale combat aircraft likely to be delivered by July end: Reports,1,1
"Protests in Sopore over 'custody death', parties seek action",1,1
"Truck with over 25,000 kg pistachios robbed in Kutch",1,1
